Squad,# Pl,90s,Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,League,Season
San Lorenzo,24,14.0,,,,,,,235,,,,,,,,,Copa de la Liga,2023
Sarmiento,28,14.0,,,,,,,187,,,,,,,,,Copa de la Liga,2023
Talleres,28,14.0,,,,,,,225,,,,,,,,,Copa de la Liga,2023
Tigre,29,14.0,,,,,,,297,,,,,,,,,Copa de la Liga,2023
Unión,23,14.0,,,,,,,319,,,,,,,,,Copa de la Liga,2023
Vélez Sarsfield,27,14.0,,,,,,,254,,,,,,,,,Copa de la Liga,2023
Arg Juniors,26,14.0,,,,,,,233,,,,,,,,,Copa de la Liga,2024
Atlé Tucumán,24,14.0,,,,,,,344,,,,,,,,,Copa de la Liga,2024
Banfield,27,14.0,,,,,,,332,,,,,,,,,Copa de la Liga,2024
Barracas Central,24,14.0,,,,,,,190,,,,,,,,,Copa de la Liga,2024
Belgrano,33,14.0,,,,,,,260,,,,,,,,,Copa de la Liga,2024
Boca Juniors,29,14.0,,,,,,,320,,,,,,,,,Copa de la Liga,2024
Cen. Córdoba–SdE,31,14.0,,,,,,,231,,,,,,,,,Copa de la Liga,2024
Defensa y Just,30,14.0,,,,,,,213,,,,,,,,,Copa de la Liga,2024
Deportivo Riestra,30,14.0,,,,,,,214,,,,,,,,,Copa de la Liga,2024
Estudiantes–LP,29,14.0,,,,,,,282,,,,,,,,,Copa de la Liga,2024
Gimnasia–LP,26,14.0,,,,,,,304,,,,,,,,,Copa de la Liga,2024
Godoy Cruz,29,14.0,,,,,,,294,,,,,,,,,Copa de la Liga,2024
Huracán,25,14.0,,,,,,,285,,,,,,,,,Copa de la Liga,2024
Ind. Rivadavia,34,14.0,,,,,,,303,,,,,,,,,Copa de la Liga,2024
Independiente,23,14.0,,,,,,,299,,,,,,,,,Copa de la Liga,2024
Instituto,25,14.0,,,,,,,297,,,,,,,,,Copa de la Liga,2024
Lanús,23,14.0,,,,,,,274,,,,,,,,,Copa de la Liga,2024
Newell's OB,27,14.0,,,,,,,325,,,,,,,,,Copa de la Liga,2024
Platense,26,14.0,,,,,,,283,,,,,,,,,Copa de la Liga,2024
Racing Club,28,14.0,,,,,,,247,,,,,,,,,Copa de la Liga,2024
River Plate,27,14.0,,,,,,,280,,,,,,,,,Copa de la Liga,2024
Rosario Central,26,14.0,,,,,,,265,,,,,,,,,Copa de la Liga,2024
San Lorenzo,30,14.0,,,,,,,249,,,,,,,,,Copa de la Liga,2024
Sarmiento,30,14.0,,,,,,,236,,,,,,,,,Copa de la Liga,2024
Talleres,28,14.0,,,,,,,234,,,,,,,,,Copa de la Liga,2024
Tigre,28,14.0,,,,,,,215,,,,,,,,,Copa de la Liga,2024
Unión,23,14.0,,,,,,,356,,,,,,,,,Copa de la Liga,2024
Vélez Sarsfield,26,14.0,,,,,,,302,,,,,,,,,Copa de la Liga,2024
