Squad,# Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,League,Season
Barracas Central,24,14.0,17,1,0,149,158,22,190,116,153,0.0,0.0,1,Copa de la Liga,2024
Belgrano,33,14.0,28,2,1,155,152,23,260,112,158,1.0,2.0,0,Copa de la Liga,2024
Boca Juniors,29,14.0,38,2,2,173,161,27,320,119,148,1.0,1.0,0,Copa de la Liga,2024
Cen. Córdoba–SdE,31,14.0,37,0,0,168,156,21,231,131,154,0.0,1.0,1,Copa de la Liga,2024
Defensa y Just,30,14.0,22,1,0,148,136,34,213,134,147,2.0,2.0,0,Copa de la Liga,2024
Deportivo Riestra,30,14.0,35,1,0,199,113,13,214,135,146,0.0,2.0,0,Copa de la Liga,2024
Estudiantes–LP,29,14.0,33,3,0,190,191,22,282,119,183,0.0,0.0,0,Copa de la Liga,2024
Gimnasia–LP,26,14.0,31,4,1,180,143,29,304,123,167,1.0,2.0,0,Copa de la Liga,2024
Godoy Cruz,29,14.0,38,2,1,192,135,14,294,114,165,0.0,0.0,0,Copa de la Liga,2024
Huracán,25,14.0,35,4,2,192,191,13,285,130,145,1.0,1.0,0,Copa de la Liga,2024
Ind. Rivadavia,34,14.0,39,1,1,161,172,13,303,115,148,1.0,0.0,0,Copa de la Liga,2024
Independiente,23,14.0,45,3,2,182,172,21,299,141,155,2.0,0.0,0,Copa de la Liga,2024
Instituto,25,14.0,37,2,0,170,157,31,297,106,186,4.0,0.0,1,Copa de la Liga,2024
Lanús,23,14.0,42,1,1,184,176,28,274,124,161,0.0,1.0,0,Copa de la Liga,2024
Newell's OB,27,14.0,40,3,1,163,190,16,325,120,169,1.0,0.0,0,Copa de la Liga,2024
Platense,26,14.0,29,1,0,166,150,29,283,121,199,1.0,0.0,0,Copa de la Liga,2024
Racing Club,28,14.0,34,0,0,153,129,25,247,106,163,1.0,0.0,1,Copa de la Liga,2024
River Plate,27,14.0,31,0,0,164,191,25,280,119,157,1.0,1.0,0,Copa de la Liga,2024
Rosario Central,26,14.0,37,1,1,158,180,19,265,128,164,1.0,2.0,0,Copa de la Liga,2024
San Lorenzo,30,14.0,31,1,1,185,178,24,249,126,192,1.0,1.0,0,Copa de la Liga,2024
Sarmiento,30,14.0,34,1,0,166,133,26,236,128,149,1.0,3.0,0,Copa de la Liga,2024
Talleres,28,14.0,32,1,1,143,146,31,234,116,171,1.0,4.0,1,Copa de la Liga,2024
Tigre,28,14.0,28,3,2,165,181,20,215,112,170,1.0,2.0,1,Copa de la Liga,2024
Unión,23,14.0,37,0,0,174,180,25,356,146,148,1.0,2.0,0,Copa de la Liga,2024
Vélez Sarsfield,26,14.0,32,0,0,153,190,22,302,119,165,0.0,0.0,1,Copa de la Liga,2024
