player_name,id,Pos,last_season,seasons_played,matches_played
Santiago Ascacibar,724854,MF,2024,2,70
Matias Di Benedetto,725300,DF,2022,1,14
Luciano Gomez,725483,"MF,DF",2024,4,69
Marcelo Ortiz,725579,DF,2023,3,63
Hector Fertoli,725782,MF,2024,4,102
Franco Troyansky,726261,"FW,MF",2024,3,79
Ignacio Ramirez,727095,FW,2024,1,39
Facundo Mallo,727099,DF,2024,2,71
Kevin Mac Allister,728290,DF,2023,3,85
Tomas Molina,728323,"FW,MF",2024,1,31
Lucas Merolla,729085,MF,2023,2,101
Blas Riveros,729090,DF,2024,1,16
Maximiliano Salas,730647,FW,2023,1,40
Lautaro Montoya,731400,DF,2023,3,58
Diego Garcia,738100,"FW,MF",2022,1,13
Nicolas Servetto,740796,FW,2024,2,47
Bruno Sepulveda,741669,FW,2024,4,127
Nicolas Benegas,742643,FW,2024,1,31
Adrian Sporle,743009,DF,2024,2,61
Alexis Maldonado,743052,DF,2024,2,50
Jhonatan Candia,745206,"FW,MF",2024,4,100
Julian Chicco,746607,MF,2023,3,57
Maximiliano Lovera,747221,MF,2024,2,64
Gonzalo Escobar,751010,MF,2021,1,11
Francis Mac Allister,751057,MF,2024,4,83
Gonzalo Maroni,751138,MF,2024,3,85
Nicolás de la Cruz,751198,"MF,FW",2023,3,80
Gabriel Gudino,751219,MF,2024,4,94
Nicolas Sansotre,752875,DF,2024,1,34
Leandro Maciel,753077,MF,2023,3,101
Gabriel Compagnucci,754685,DF,2024,3,54
Jonathan Bay,760273,"DF,MF",2024,4,121
Ivan Gomez,770895,MF,2024,4,118
Diego Valoyes,783809,MF,2023,3,79
Jorge Carrascal,784834,GK,2023,1,51
Fernando Romero,787218,FW,2024,1,33
Juan Andrada,787257,MF,2024,4,49
Matias Tagliamonte,787283,GK,2024,3,16
Enzo Copetti,787284,"FW,MF",2024,3,100
Norberto Briasco,788656,"FW,MF",2024,4,59
Franco Negri,789046,DF,2022,2,53
Ezequiel Barco,789068,"MF,FW",2024,3,103
Alexis Sosa,792757,DF,2021,1,6
Alexis Dominguez,793285,FW,2024,4,71
Renzo Tesuri,793800,MF,2024,4,136
Nicolas Reniero,793872,"FW,MF",2023,3,85
Fernando Juarez,794311,MF,2024,2,53
Agustin Cardozo,795163,MF,2024,3,111
Milton Álvarez,795422,GK,2022,1,17
Leonardo Morales,795485,DF,2021,1,152
Leonardo Sequeira,795724,"MF,FW",2021,1,21
Ian Escobar,795958,DF,2021,1,33
Manuel Castro,796720,"MF,FW",2022,2,86
Santiago Cáseres,797927,MF,2024,3,55
Fabricio Bustos,798148,DF,2024,2,51
Juan Pintado,799678,MF,2024,2,59
Carlos Benavidez,799914,MF,2022,1,12
Matias Pardo,801507,MF,2022,2,25
Mauro Ortiz,801513,FW,2024,3,20
Cristian Vega,801725,MF,2024,3,67
Javier Iritier,805414,MF,2022,2,12
Nicolas Zalazar,805539,DF,2021,1,8
Gabriel Rojas,805540,MF,2024,2,113
Angelo Martino,805592,"MF,DF",2024,4,116
Ivan Villalba,805771,DF,2024,1,20
Djorkaeff Reasco,809537,"MF,FW",2023,2,42
Leonardo Heredia,809620,"MF,FW",2024,4,112
Marcelo Estigarribia,809766,FW,2024,3,87
Walter Mazzanti,812450,"MF,FW",2024,2,66
Manuel Capasso,816132,DF,2022,2,30
Martin Sarrafiore,816993,MF,2023,1,16
David Gallardo,818392,MF,2024,3,29
Lucas Blondel,823206,DF,2023,2,78
Sergio Quiroga,824068,MF,2024,4,109
Federico Vera,824090,"DF,MF",2024,4,157
Miguel Merentiel,826418,FW,2024,3,114
Matias Marin,828718,MF,2024,2,19
Nicolas Bazzana,830059,DF,2021,1,22
Agustin Rogel,830161,DF,2022,2,58
Joaquin Pereyra,831541,MF,2024,4,112
Gaston Togni,832164,DF,2023,3,103
Alan Franco,832171,MF,2023,2,34
Matias Tissera,832836,FW,2021,1,21
Ignacio Chicco,833271,MF,2022,2,78
Jesus Soraire,833682,MF,2024,4,119
Jaminton Campaz,837870,MF,2024,2,68
Luciano Pizzaro,838067,MF,2021,1,7
Blas Armoa,839634,"MF,FW",2024,3,91
Sebastian Prieto,841913,DF,2024,3,87
Guido Mainero,841947,"MF,FW",2024,4,86
Luis Ingolotti,844389,GK,2024,2,35
Facundo Garces,845067,DF,2023,3,116
Franco Pardo,845263,DF,2024,1,44
Adam Bareiro,845370,FW,2024,3,97
Nicolas Sosa,845944,MF,2024,1,31
Lucas Carrizo,846916,FW,2021,1,150
Robert Rojas,846980,DF,2023,2,54
Maximiliano Rodriguez,847288,DF,2024,3,25
Franco Petroli,847978,GK,2024,1,38
Manuel Roffo,847982,GK,2024,3,81
Tomas Belmonte,847984,MF,2024,4,92
Santiago Mele,848027,GK,2023,2,114
Juan Alvarez,848153,"MF,FW",2024,4,122
Gustavo Del Prete,848182,"FW,MF",2022,2,36
Brian Sanchez,848187,MF,2024,1,23
Federico Rasmussen,848620,DF,2024,4,107
Alexis Rodrigues,850151,"MF,FW",2021,1,10
Carlos Arce,850731,MF,2024,3,72
Raul Lozano,856411,DF,2023,3,78
Fernando Torrent,856814,"MF,DF",2024,4,26
Jonathan Goya,857214,MF,2024,1,11
Sebastián Villa,859319,FW,2024,4,106
Gabriel Neves,859754,MF,2024,1,30
Nahuel Tenaglia,860314,DF,2021,1,36
Santiago Rojas,860888,GK,2023,1,20
Fernando Cardozo,860962,"MF,DF",2024,1,15
Rodrigo Fernandez,861785,MF,2024,1,28
Rodrigo Holgado,862170,"FW,MF",2021,1,12
Luciano Sanchez,862337,"MF,DF",2023,2,40
Thomas Galdames,864271,"DF,MF",2024,2,43
Benjamin Garre,872965,MF,2022,2,37
Emanuel Coronel,874620,DF,2024,4,126
Martin Payero,874621,"MF,FW",2023,2,34
Nicolas Linares,874622,MF,2023,3,72
Tomas Durso,874631,GK,2024,3,69
Harrinson Mancilla,874664,MF,2023,3,49
Juan Espinola,875078,GK,2024,3,65
Agustin Bolivar,875743,MF,2024,2,33
Tomas Chancalay,876274,"MF,FW",2022,2,64
Braian Galvan,876275,MF,2024,1,26
Agustin Palavecino,879858,"MF,FW",2024,4,104
Franco Moyano,881159,FW,2021,1,113
Lucas Vera,881995,MF,2022,2,22
Jonas Acevedo,882460,"MF,FW",2024,4,110
Adrian Martinez,882933,FW,2024,2,73
Junior Marabel,883281,FW,2023,2,31
Edgar Elizalde,883695,DF,2023,2,30
Tomas Marchiori,886331,GK,2024,3,89
Alan Rodriguez,887142,"MF,FW",2024,3,125
Brahian Cuello,889715,MF,2024,3,78
Fabio Pereyra,889736,DF,2024,3,105
Maximiliano Comba,890242,"MF,FW",2023,2,29
Cristian Ferreira,892175,"MF,FW",2024,4,85
Luciano Herrera,892643,"MF,FW",2024,1,37
Anibal Leguizamon,892840,DF,2024,1,14
Hernan De La Fuente,900404,DF,2024,2,61
Francisco Ortega,902969,DF,2023,3,89
Yonatan Goitia,902983,"MF,DF",2024,1,39
Mateo Retegui,905546,FW,2023,3,99
Sergio Barreto,907723,DF,2023,3,87
Alejandro Maciel,907957,DF,2024,4,121
Luciano Leonel Recalde,917569,DF,2024,2,19
Gaston Lodico,917619,MF,2024,3,112
Guillermo Soto,917976,DF,2023,2,43
Alejo Antilef,918481,"MF,FW",2022,2,48
Jeronimo Cacciabue,918492,MF,2024,3,64
Cristian Nunez,918511,MF,2024,3,66
Nicolas Thaller,918614,DF,2022,2,18
Gaston Veron,918846,"FW,MF",2024,3,96
Matias Melluso,919156,DF,2023,3,62
Francisco Alvarez,920404,DF,2024,3,94
Lautaro Chavez,921347,MF,2024,3,17
Giuliano Galoppo,921603,MF,2022,2,54
Franco Quinteros,921606,DF,2023,3,58
Matias Coccaro,921749,FW,2023,3,94
Jorman Campuzano,922875,"MF,DF",2024,3,60
Dario Caceres,922919,DF,2024,2,22
Tomas Badaloni,923598,FW,2024,4,104
Edwin Cetre,924959,"MF,FW",2024,1,32
Nicolas Demartini,925286,DF,2024,1,45
Christian Oliva,925841,MF,2023,2,34
Juan Cozzani,926330,GK,2024,1,40
Alejandro Cabrera,930564,DF,2023,3,64
Sebastian Corda,930573,DF,2023,1,24
Franz Gonzales,931555,MF,2022,1,11
Agustin Almendra,935060,"MF,FW",2024,2,68
Valentin Burgoa,936100,"MF,FW",2024,4,91
Malcom Braida,938003,"MF,FW",2024,4,130
Julian Navas,938030,DF,2023,3,41
Ramiro Ruiz,939335,"FW,MF",2024,4,116
Gonzalo Goni,939404,DF,2024,4,107
Martin Garay,939965,"DF,MF",2024,4,121
Juan Rodriguez,940819,DF,2024,4,77
